=== 建设任务抽样样本 (覆盖全部八批及8大建设阶段) ===
ID=00001 | 单位ID=0001 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=孟明德  | 计划=2025-12-18 | 实际=2025-11-04 | 名称=跨法人主体委托记账权限授权
ID=00002 | 单位ID=0001 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=褚熹   | 计划=2025-11-08 | 实际=2025-11-04 | 名称=生产与容灾服务器资源规划
ID=00003 | 单位ID=0001 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=卜风华  | 计划=2025-11-03 | 实际=2025-11-03 | 名称=双轨并行期间期初差异与跨期账务处理
ID=00004 | 单位ID=0001 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=凤少陵  | 计划=2025-11-11 | 实际=2025-11-05 | 名称=正式切网与各外部业务系统接入切换
ID=00005 | 单位ID=0001 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=凤少陵  | 计划=2025-12-15 | 实际=2025-11-13 | 名称=新系统常见操作误区与防错机制宣贯
ID=00006 | 单位ID=0001 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=凤少陵  | 计划=2025-11-25 | 实际=2025-11-12 | 名称=新旧系统首周业务单据与凭证平行核对
ID=00007 | 单位ID=0001 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=凤少陵  | 计划=2025-11-15 | 实际=2025-11-14 | 名称=双轨运行期间日常对账及异常处理培训
ID=00008 | 单位ID=0001 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=赵俊豪  | 计划=2025-11-19 | 实际=2025-11-13 | 名称=存货与物料编码分类标准对齐
ID=00009 | 单位ID=0001 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=凤少陵  | 计划=2025-11-30 | 实际=2025-11-25 | 名称=资金管理系统银企直联流水回传联调
ID=00010 | 单位ID=0001 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=茅稼轩  | 计划=2025-11-28 | 实际=2025-11-04 | 名称=网络专线连通与防火墙策略开通
ID=00011 | 单位ID=0001 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=汤高山  | 计划=2025-11-27 | 实际=2025-11-18 | 名称=上线首个会计期间月末结账驻场保障
ID=00012 | 单位ID=0001 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=贝梦竹  | 计划=2025-11-09 | 实际=2025-11-04 | 名称=骨干业务人员与关键用户专题深化培训
ID=00013 | 单位ID=0001 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=褚熹   | 计划=2025-11-28 | 实际=2025-11-10 | 名称=高频交易场景单据流转与凭证生成抽检
ID=02877 | 单位ID=0097 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=明随园  | 计划=2026-01-30 | 实际=2026-01-25 | 名称=资金管理系统银企直联流水回传联调
ID=02878 | 单位ID=0097 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=朱明月  | 计划=2026-01-13 | 实际=2026-01-06 | 名称=新旧系统首周业务单据与凭证平行核对
ID=02879 | 单位ID=0097 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=柳秋实  | 计划=2026-01-12 | 实际=2026-01-10 | 名称=特殊业务特批审批通道与留痕配置
ID=02880 | 单位ID=0097 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=戚水云  | 计划=2026-01-18 | 实际=2026-01-14 | 名称=应付账款供应商未结清款项明细导入
ID=02881 | 单位ID=0097 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=姚玉儿  | 计划=2026-01-26 | 实际=2026-01-07 | 名称=单点登录SSO与统一身份认证集成
ID=02882 | 单位ID=0097 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=何弃疾  | 计划=2026-02-08 | 实际=2026-01-26 | 名称=供应商全生命周期主数据清洗与去重
ID=02883 | 单位ID=0097 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=水义山  | 计划=2026-02-10 | 实际=2026-01-09 | 名称=采购商城与结算系统前置接口联调
ID=02884 | 单位ID=0097 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=明随园  | 计划=2026-01-05 | 实际=2026-01-05 | 名称=期初未达账项与银行对账单平衡调节
ID=02885 | 单位ID=0097 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=水义山  | 计划=2026-02-12 | 实际=2026-02-07 | 名称=应收账款客户明细期初余额核对
ID=02886 | 单位ID=0097 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=朱明月  | 计划=2026-02-05 | 实际=2026-01-24 | 名称=电子发票服务平台查验与认证接口联调
ID=02887 | 单位ID=0097 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=朱明月  | 计划=2026-01-12 | 实际=2026-01-11 | 名称=堡垒机与运维鉴权策略配置
ID=02888 | 单位ID=0097 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=柳秋实  | 计划=2026-02-12 | 实际=2026-02-06 | 名称=骨干业务人员与关键用户专题深化培训
ID=02889 | 单位ID=0097 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=贺宇轩  | 计划=2026-01-14 | 实际=2026-01-09 | 名称=系统平稳运行综合评估与项目首期总结
ID=06987 | 单位ID=0234 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=宋嘉欣  | 计划=2026-03-16 | 实际=2026-03-05 | 名称=各核算主体总账科目期初余额导入
ID=06988 | 单位ID=0234 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=于东山  | 计划=2026-03-02 | 实际=2026-03-02 | 名称=应付账款供应商未结清款项明细导入
ID=06989 | 单位ID=0234 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=赵浩然  | 计划=2026-03-21 | 实际=2026-03-15 | 名称=系统平稳运行综合评估与项目首期总结
ID=06990 | 单位ID=0234 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=孙雪怡  | 计划=2026-04-04 | 实际=2026-03-27 | 名称=用户组织范围管辖边界校验与下发
ID=06991 | 单位ID=0234 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=宋嘉欣  | 计划=2026-03-09 | 实际=2026-03-02 | 名称=特殊业务特批审批通道与留痕配置
ID=06992 | 单位ID=0234 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=汤清风  | 计划=2026-03-02 | 实际=2026-03-02 | 名称=客户主数据与信用档案核对校验
ID=06993 | 单位ID=0234 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=柳维   | 计划=2026-04-05 | 实际=2026-03-15 | 名称=双轨运行期间日常对账及异常处理培训
ID=06994 | 单位ID=0234 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=汤清风  | 计划=2026-04-03 | 实际=2026-04-01 | 名称=内部结算价格体系与往来抵消规则
ID=06995 | 单位ID=0234 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=赵浩然  | 计划=2026-03-26 | 实际=2026-03-14 | 名称=固定资产卡片全量数据导入与净值校验
ID=06996 | 单位ID=0234 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=范书林  | 计划=2026-03-08 | 实际=2026-03-05 | 名称=生产与容灾服务器资源规划
ID=06997 | 单位ID=0234 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=宋嘉欣  | 计划=2026-04-09 | 实际=2026-04-06 | 名称=存货期初库存数量及暂估入库金额导入
ID=06998 | 单位ID=0234 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=柳维   | 计划=2026-03-18 | 实际=2026-03-03 | 名称=OA费用报销单据异步推送接口测试
ID=06999 | 单位ID=0234 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=汤清风  | 计划=2026-03-17 | 实际=2026-03-09 | 名称=新系统常见操作误区与防错机制宣贯
ID=11938 | 单位ID=0398 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=滕风云  | 计划=2026-05-23 | 实际=2026-04-20 | 名称=系统平稳运行综合评估与项目首期总结
ID=11939 | 单位ID=0398 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=水雅轩  | 计划=2026-04-22 | 实际=2026-04-20 | 名称=总账系统自动记账凭证回传接口压力测试
ID=11940 | 单位ID=0398 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=苗西湖  | 计划=2026-05-26 | 实际=2026-04-26 | 名称=高频交易场景单据流转与凭证生成抽检
ID=11941 | 单位ID=0398 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=滕风云  | 计划=2026-05-13 | 实际=2026-05-02 | 名称=特殊业务特批审批通道与留痕配置
ID=11942 | 单位ID=0398 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=苗西湖  | 计划=2026-05-18 | 实际=2026-05-16 | 名称=跨期业务损益调整与未分配利润校验
ID=11943 | 单位ID=0398 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=苗西湖  | 计划=2026-05-22 | 实际=2026-05-07 | 名称=企业开户银行及银企直联通道配置
ID=11944 | 单位ID=0398 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=滕风云  | 计划=2026-05-05 | 实际=2026-04-28 | 名称=财务专岗全业务流程实操通关考核
ID=11945 | 单位ID=0398 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=水雅轩  | 计划=2026-04-26 | 实际=2026-04-22 | 名称=堡垒机与运维鉴权策略配置
ID=11946 | 单位ID=0398 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=戴朝阳  | 计划=2026-05-12 | 实际=2026-05-11 | 名称=上线前应急预案与技术支持答疑会
ID=11947 | 单位ID=0398 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=苗西湖  | 计划=2026-05-17 | 实际=2026-05-04 | 名称=新系统生产环境最终静态与动态数据同步
ID=11948 | 单位ID=0398 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=史东海  | 计划=2026-04-26 | 实际=2026-04-20 | 名称=生产ERP工单成本核算接口联调
ID=11949 | 单位ID=0398 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=水雅轩  | 计划=2026-04-26 | 实际=2026-04-24 | 名称=上线首个会计期间月末结账驻场保障
ID=11950 | 单位ID=0398 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=苗西湖  | 计划=2026-04-29 | 实际=2026-04-20 | 名称=生产与容灾服务器资源规划
ID=17365 | 单位ID=0579 | 阶段=上线切换   | 状态=已完成   | 进度=100% | 责任人=喻心怡  | 计划=2026-07-12 | 实际=2026-07-02 | 名称=新系统首日业务实单录入与全流程走通
ID=17366 | 单位ID=0579 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=陈紫兰  | 计划=2026-07-04 | 实际=2026-06-12 | 名称=新旧系统首周业务单据与凭证平行核对
ID=17367 | 单位ID=0579 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=陈紫兰  | 计划=2026-07-15 | 实际=2026-07-09 | 名称=企业开户银行及银企直联通道配置
ID=17368 | 单位ID=0579 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=袁婉儿  | 计划=2026-07-03 | 实际=2026-06-10 | 名称=应付账款供应商未结清款项明细导入
ID=17369 | 单位ID=0579 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=袁婉儿  | 计划=2026-06-29 | 实际=2026-06-22 | 名称=骨干业务人员与关键用户专题深化培训
ID=17370 | 单位ID=0579 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=伏敏行  | 计划=2026-06-22 | 实际=2026-06-21 | 名称=供应商全生命周期主数据清洗与去重
ID=17371 | 单位ID=0579 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=伏敏行  | 计划=2026-07-04 | 实际=2026-06-12 | 名称=多税种税率及自动计税规则配置
ID=17372 | 单位ID=0579 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=伏敏行  | 计划=2026-06-13 | 实际=2026-06-12 | 名称=网络专线连通与防火墙策略开通
ID=17373 | 单位ID=0579 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=喻心怡  | 计划=2026-06-10 | 实际=2026-06-08 | 名称=云原生容器基础设施环境部署
ID=17374 | 单位ID=0579 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=喻心怡  | 计划=2026-06-30 | 实际=2026-06-13 | 名称=电子发票服务平台查验与认证接口联调
ID=17375 | 单位ID=0579 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=袁婉儿  | 计划=2026-06-15 | 实际=2026-06-08 | 名称=全链路链路追踪与监控告警上线
ID=17376 | 单位ID=0579 | 阶段=组织权限   | 状态=已完成   | 进度=100% | 责任人=喻心怡  | 计划=2026-06-27 | 实际=2026-06-18 | 名称=用户组织范围管辖边界校验与下发
ID=17377 | 单位ID=0579 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=伍子墨  | 计划=2026-07-03 | 实际=2026-06-23 | 名称=双轨运行稳定性与账表一致性专家评审
ID=23455 | 单位ID=0782 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=贺明轩  | 计划=2026-08-08 | 实际=2026-08-18 | 名称=生产与容灾服务器资源规划
ID=23456 | 单位ID=0782 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=郝云帆  | 计划=2026-08-19 | 实际=2026-08-15 | 名称=多税种税率及自动计税规则配置
ID=23457 | 单位ID=0782 | 阶段=双轨验证   | 状态=已完成   | 进度=100% | 责任人=郝云帆  | 计划=2026-08-04 | 实际=2026-08-29 | 名称=双轨期间异常中断与数据重跑流程演练
ID=23458 | 单位ID=0782 | 阶段=基础环境   | 状态=进行中   | 进度= 55% | 责任人=贝日朗  | 计划=2026-08-22 | 实际=无          | 名称=堡垒机与运维鉴权策略配置
ID=23459 | 单位ID=0782 | 阶段=基础环境   | 状态=已完成   | 进度=100% | 责任人=杨子萱  | 计划=2026-08-26 | 实际=2026-08-02 | 名称=数据库读写分离与高可用集群搭建
ID=23460 | 单位ID=0782 | 阶段=双轨验证   | 状态=进行中   | 进度= 44% | 责任人=贺明轩  | 计划=2026-08-29 | 实际=无          | 名称=双轨运行稳定性与账表一致性专家评审
ID=23461 | 单位ID=0782 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=杨子萱  | 计划=2026-08-10 | 实际=2026-08-03 | 名称=各核算主体总账科目期初余额导入
ID=23462 | 单位ID=0782 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=余博达  | 计划=2026-08-22 | 实际=2026-08-09 | 名称=营销CRM与收入确认接口数据对齐
ID=23463 | 单位ID=0782 | 阶段=基础数据   | 状态=已完成   | 进度=100% | 责任人=郝云帆  | 计划=2026-08-14 | 实际=2026-08-09 | 名称=供应商全生命周期主数据清洗与去重
ID=23464 | 单位ID=0782 | 阶段=组织权限   | 状态=进行中   | 进度= 80% | 责任人=安牧   | 计划=2026-07-27 | 实际=无          | 名称=敏感财务数据字段级访问控制策略
ID=23465 | 单位ID=0782 | 阶段=用户培训   | 状态=已完成   | 进度=100% | 责任人=安牧   | 计划=2026-08-26 | 实际=2026-08-20 | 名称=财务专岗全业务流程实操通关考核
ID=23466 | 单位ID=0782 | 阶段=接口联调   | 状态=已完成   | 进度=100% | 责任人=杨子萱  | 计划=2026-08-27 | 实际=2026-08-26 | 名称=电子发票服务平台查验与认证接口联调
ID=23467 | 单位ID=0782 | 阶段=期初数据   | 状态=已完成   | 进度=100% | 责任人=杨子萱  | 计划=2026-07-27 | 实际=2026-08-29 | 名称=在建工程项目累计发生额及预算导入
ID=30085 | 单位ID=1003 | 阶段=上线切换   | 状态=未开始   | 进度=  0% | 责任人=时维   | 计划=2026-10-22 | 实际=无          | 名称=正式切网与各外部业务系统接入切换
